Customer ID,Recency,Frequency,Monetary,Cluster,ChurnRisk
BO-11350,138,12,2682.728,1,Low
BO-11425,76,2,130.83,1,Low
BP-11050,84,7,983.42,1,Low
BP-11095,18,20,2442.044,0,Low
BP-11155,90,11,1697.8609999999999,1,Low
BP-11185,2,18,3675.861,0,Low
BP-11230,40,6,1181.49,1,Low
BP-11290,13,16,2475.157,0,Low
BS-11365,559,9,10501.653,2,High
BS-11380,29,13,3887.834,0,Low
BS-11590,36,10,2454.928,1,Low
BS-11665,583,11,3288.1099999999997,3,High
BS-11755,2,14,2562.382,0,Low
BS-11800,266,8,949.4300000000001,1,High
BT-11305,337,9,2567.656,3,High
BT-11395,303,10,2186.6130000000003,1,High
BT-11440,561,7,603.876,3,High
BT-11485,660,3,415.19599999999997,3,High
BT-11530,92,10,2684.4919999999997,1,Low
BT-11680,21,20,3196.752,0,Low
BV-11245,335,14,1523.2730000000001,3,High
BW-11065,213,3,385.516,1,High
BW-11110,122,17,4750.358,0,Low
BW-11200,204,10,1738.406,1,High
CA-11965,97,10,3789.7228,1,Low
CA-12055,402,10,1679.7240000000002,3,High
CA-12265,57,17,2648.2872,0,Low
CA-12310,14,11,1421.954,1,Low
CA-12775,121,17,3041.566,0,Low
CB-12025,48,26,6076.139,0,Low
CB-12415,27,12,1949.2,1,Low
CB-12535,198,19,4246.4555,0,High
CC-12100,458,13,1770.945,3,High
CC-12145,107,11,2471.65,1,Low
CC-12220,21,22,3913.418,0,Low
CC-12370,44,11,12129.072000000002,2,Low
CC-12430,1,19,2870.05,0,Low
CC-12475,40,13,1659.438,1,Low
CC-12550,28,4,113.832,1,Low
CC-12610,35,12,2540.631,1,Low
CC-12670,30,14,2269.7015,0,Low
CC-12685,800,12,2854.1150000000002,3,High
CD-11920,41,9,2033.968,1,Low
CD-11980,55,6,639.766,1,Low
CD-12280,43,13,1205.584,1,Low
CD-12790,400,15,1860.732,3,High
CG-12040,50,9,904.4680000000001,1,Low
CG-12520,339,5,1148.7800000000002,3,High
CH-12070,692,4,1537.236,3,High
CJ-11875,366,1,16.52,3,High
CJ-12010,190,20,11164.974,2,High
CK-12205,40,32,3154.855,0,Low
CK-12325,121,12,2945.321,1,Low
CK-12595,44,25,2372.75,0,Low
CK-12760,83,14,1582.109,1,Low
CL-11890,107,7,1262.0140000000001,1,Low
CL-12565,285,28,10880.546,2,High
CL-12700,106,8,2353.586,1,Low
CM-11815,132,10,1673.888,1,Low
CM-11935,709,4,565.392,3,High
CM-12115,9,7,1661.6100000000001,1,Low
CM-12160,27,7,2533.314,1,Low
CM-12190,9,7,1475.144,1,Low
CM-12235,386,8,2305.712,3,High
CM-12385,38,10,8954.019999999999,2,Low
CM-12445,437,9,287.99,3,High
CM-12655,28,10,6339.5576,0,Low
CM-12715,1036,13,3984.4524,3,High
CP-12085,83,14,5402.254,0,Low
CP-12340,161,15,5888.275,0,Low
CR-12580,58,6,2148.852,1,Low
CR-12625,471,4,475.9,3,High
CR-12730,79,6,1600.55,1,Low
CR-12820,86,7,1397.8724,1,Low
CS-11845,92,8,1278.954,1,Low
CS-11860,163,7,537.632,1,Low
CS-11950,26,22,3036.547,0,Low
CS-12130,490,7,884.64,3,High
CS-12175,233,8,844.4580000000001,1,High
CS-12250,27,28,2754.216,0,Low
CS-12355,7,22,3202.1620000000003,0,Low
CS-12400,3,14,3651.8585000000003,0,Low
CS-12460,28,6,550.644,1,Low
CS-12490,425,9,1077.2285,3,High
CS-12505,59,9,5690.054999999999,1,Low
CT-11995,97,18,3241.898,0,Low
CV-12295,255,13,2830.6279999999997,1,High
CV-12805,6,19,2370.3136,0,Low
CW-11905,23,11,1136.592,1,Low
CY-12745,61,11,2900.026,1,Low
Co-12640,550,8,1300.076,3,High
DA-13450,353,8,156.76,3,High
DB-12910,22,12,2171.599,1,Low
DB-12970,242,14,2839.2272,0,High
DB-13060,17,13,4531.646,0,Low
DB-13120,49,14,2973.094,0,Low
DB-13210,10,21,2332.577,0,Low
DB-13270,54,13,4655.897,0,Low
DB-13360,265,6,1081.466,1,High
DB-13405,188,14,1711.692,1,High
DB-13555,108,14,3908.8028,0,Low
DB-13615,34,11,1989.05,1,Low
DB-13660,13,10,1155.202,1,Low
DC-12850,38,18,3336.168,0,Low
DC-13285,24,7,1174.618,1,Low
DD-13570,42,9,269.542,1,Low
DE-13255,720,9,2550.874,3,High
DF-13135,701,6,2390.534,3,High
DG-13300,33,8,3195.818,1,Low
DH-13075,278,23,4932.872,0,High
DH-13675,777,11,1043.096,3,High
DJ-13420,638,5,2012.52,3,High
DJ-13510,49,13,2501.6879999999996,1,Low
DJ-13630,13,8,3356.398,1,Low
DK-12835,22,27,3256.48,0,Low
DK-12895,46,15,4282.176,0,Low
DK-12985,8,8,1687.04,1,Low
DK-13090,43,13,2650.557,1,Low
DK-13150,11,5,797.832,1,Low
DK-13225,11,19,4802.394,0,Low
DK-13375,20,23,3318.486,0,Low
DL-12865,101,14,1503.112,1,Low
DL-12925,58,14,3272.2,0,Low
DL-13315,23,17,1458.258,0,Low
DL-13330,58,8,585.02,1,Low
DL-13495,77,12,3539.322,1,Low
DM-12955,115,9,1322.034,1,Low
DM-13015,58,20,6345.103,0,Low
DM-13345,23,13,4074.4719999999998,0,Low
DM-13525,482,10,1376.792,3,High
DN-13690,218,11,2139.79,1,High
DO-13435,134,13,1300.0315,1,Low
DO-13645,27,11,1267.316,1,Low
DP-13000,127,17,1050.636,0,Low
DP-13105,7,14,2215.002,0,Low
DP-13165,813,4,1058.616,3,High
DP-13390,359,14,5480.723999999999,0,High
DR-12880,4,24,6528.034000000001,2,Low
DR-12940,51,13,8350.868,2,Low
DS-13030,94,19,1762.213,0,Low
DS-13180,24,20,2881.8128,0,Low
DV-13045,20,9,1119.483,1,Low
DV-13465,30,15,3341.587,0,Low
DW-13195,70,9,1080.751,1,Low
DW-13480,218,11,5271.628,0,High
DW-13540,99,9,344.08,1,Low
DW-13585,243,10,1204.854,1,High
Dl-13600,120,6,755.602,1,Low
Dp-13240,85,29,7198.7609999999995,2,Low
EA-14035,153,25,2846.705,0,Low
EB-13705,49,12,3644.978,0,Low
EB-13750,36,20,3236.314,0,Low
EB-13840,91,8,4358.128,1,Low
EB-13870,101,11,2767.219,1,Low
EB-13930,162,7,944.6000000000001,1,Low
EB-13975,1,6,1643.255,1,Low
EB-14110,114,11,3071.126,1,Low
EB-14170,83,7,1186.326,1,Low
EC-14050,54,7,461.914,1,Low
ED-13885,136,14,3484.92,0,Low
EG-13900,23,9,1832.02,1,Low
EH-13765,136,32,10310.880000000001,2,Low
EH-13945,218,17,684.1709999999999,0,High
EH-13990,406,8,825.9499999999999,3,High
EH-14005,3,11,1219.53,1,Low
EH-14125,153,18,3082.653,0,Low
EH-14185,106,8,923.884,1,Low
EJ-13720,303,8,2162.174,1,High
EJ-14155,58,8,2656.691,1,Low
EK-13795,45,4,1303.478,1,Low
EL-13735,78,2,124.28,1,Low
EM-13810,133,7,2567.0099999999998,1,Low
EM-13825,56,16,2339.598,0,Low
EM-13960,152,6,933.704,1,Low
EM-14065,48,6,228.99,1,Low
EM-14095,114,10,1041.0420000000001,1,Low
EM-14140,49,21,4588.436000000001,0,Low
EM-14200,159,4,366.822,1,Low
EN-13780,288,9,2199.366,1,High
EP-13915,13,31,5478.0608,0,Low
ER-13855,422,5,1245.788,3,High
ES-14020,41,8,3510.4579999999996,1,Low
ES-14080,29,20,4657.924,0,Low
FA-14230,98,17,2984.054,0,Low
FC-14245,71,14,3418.742,0,Low
FC-14335,185,10,3889.366,1,High
FG-14260,35,11,1383.144,1,Low
FH-14275,38,21,4256.272,0,Low
FH-14350,213,14,2271.284,1,High
FH-14365,6,13,6987.196,0,Low
FM-14215,8,15,2456.638,0,Low
FM-14290,37,20,3736.198,0,Low
FM-14380,146,14,2523.266,0,Low
FO-14305,39,15,2678.438,0,Low
FP-14320,24,14,4046.746,0,Low
FW-14395,363,3,79.75,3,High
GA-14515,150,14,3919.7760000000003,0,Low
GA-14725,6,22,1398.382,0,Low
GB-14530,63,20,1568.44,0,Low
GB-14575,14,16,4716.288,0,Low
GD-14590,6,6,1888.07,1,Low
GG-14650,44,24,2224.0,0,Low
GH-14410,76,17,2819.4669999999996,0,Low
GH-14425,51,10,4172.8460000000005,1,Low
GH-14485,388,3,1361.2440000000001,3,High
GH-14665,3,3,146.94080000000002,1,Low
GK-14620,113,14,6497.27,0,Low
GM-14440,84,11,3582.8199999999997,1,Low
GM-14455,17,12,3078.624,1,Low
GM-14500,107,13,1255.682,1,Low
GM-14680,153,11,3163.628,1,Low
GM-14695,118,11,6049.966,0,Low
GP-14740,766,5,236.53,3,High
GR-14560,1136,5,1284.38,3,High
GT-14635,57,6,9351.212,2,Low
GT-14710,37,29,11820.119999999999,2,Low
GT-14755,35,7,226.436,1,Low
GW-14605,29,9,2189.019,1,Low
GZ-14470,8,14,4355.150000000001,0,Low
GZ-14545,158,5,2454.6220000000003,1,Low
HA-14905,70,10,2163.3,1,Low
HA-14920,21,18,2584.158,0,Low
HD-14785,770,7,251.36,3,High
HE-14800,13,11,883.5319999999999,1,Low
HF-14995,22,19,2533.1639999999998,0,Low
HG-14845,55,10,785.628,1,Low
HG-14965,24,17,3247.642,0,Low
HG-15025,7,11,3690.284,1,Low
HH-15010,73,6,218.668,1,Low
HJ-14875,127,6,358.1,1,Low
HK-14890,152,15,4877.784,0,Low
HL-15040,44,11,12873.297999999999,2,Low
HM-14860,3,20,8236.7648,2,Low
HM-14980,248,7,736.276,1,High
HP-14815,31,10,1990.314,1,Low
HR-14770,14,13,1299.288,1,Low
HR-14830,160,14,5248.787,0,Low
HW-14935,118,20,9300.254,2,Low
HZ-14950,36,6,886.52,1,Low
IG-15085,72,7,744.574,1,Low
IL-15100,143,14,5040.736,0,Low
IM-15055,410,4,2872.63,3,High
IM-15070,391,21,4930.474,0,High
JA-15970,93,24,6491.026,2,Low
JB-15400,8,16,1791.605,0,Low
JB-15925,738,8,900.552,3,High
JB-16000,44,7,644.1188,1,Low
JB-16045,8,9,2518.115,1,Low
JC-15340,115,4,71.263,1,Low
JC-15385,176,4,1058.108,1,Low
JC-15775,159,16,2772.055,0,Low
JC-16105,58,9,858.576,1,Low
JD-15790,118,7,2152.352,1,Low
JD-15895,395,32,7610.8640000000005,2,High
JD-16015,113,11,385.43,1,Low
JD-16060,301,6,695.442,1,High
JD-16150,42,17,8828.0305,2,Low
JE-15475,194,13,1388.682,1,High
JE-15610,49,20,7754.976,2,Low
JE-15715,47,22,8697.842999999999,2,Low
JE-15745,52,23,6760.8150000000005,2,Low
JE-16165,21,7,2697.248,1,Low
JF-15190,66,19,2279.5860000000002,0,Low
JF-15295,226,14,955.124,1,High
JF-15355,106,16,1911.844,0,Low
JF-15415,3,14,2371.448,0,Low
JF-15490,122,15,1082.918,1,Low
JF-15565,55,16,4198.332,0,Low
JG-15115,759,7,2358.676,3,High
JG-15160,2,18,6366.392,0,Low
JG-15310,3,11,2240.58,1,Low
JG-15805,224,9,1507.018,1,High
JH-15430,6,7,309.281,1,Low
JH-15820,175,8,528.91,1,Low
JH-15910,42,9,959.477,1,Low
JH-15985,30,14,7954.9980000000005,2,Low
JH-16180,405,5,2256.3940000000002,3,High
JJ-15445,484,6,709.178,3,High
JJ-15760,754,3,195.0,3,High
JK-15205,62,13,4427.142,0,Low
JK-15325,288,4,383.812,1,High
JK-15370,45,17,2709.632,0,Low
JK-15625,62,12,3760.028,0,Low
JK-15640,181,12,4760.434,0,High
JK-15730,85,20,4867.2,0,Low
JK-16090,29,9,3747.668,1,Low
JK-16120,118,17,2932.484,0,Low
JL-15130,9,12,1214.956,1,Low
JL-15175,7,7,1571.523,1,Low
JL-15235,120,10,2203.7,1,Low
JL-15505,50,17,3173.874,0,Low
JL-15835,22,34,9799.923,2,Low
JL-15850,615,11,2725.256,3,High
JM-15250,38,19,3159.1220000000003,0,Low
JM-15265,38,13,1804.146,1,Low
JM-15535,103,10,1733.443,1,Low
JM-15580,1,7,303.948,1,Low
JM-15655,9,12,864.947,1,Low
JM-15865,110,13,7625.076000000001,2,Low
JM-16195,58,19,2833.9260000000004,0,Low
JO-15145,58,13,3254.949,0,Low
JO-15280,93,11,1934.272,1,Low
JO-15550,216,11,1090.838,1,High
JP-15460,38,15,1669.135,0,Low
JP-15520,9,16,3635.594,0,Low
JP-16135,103,13,1707.71,1,Low
JR-15670,594,3,1156.658,3,High
JR-15700,69,1,863.88,1,Low
JR-16210,34,10,2201.686,1,Low
JS-15595,120,8,1417.654,1,Low
JS-15685,43,11,1131.0639999999999,1,Low
JS-15880,535,9,3868.02,3,High
JS-15940,464,8,469.169,3,High
JS-16030,29,18,2516.494,0,Low
JW-15220,43,14,7721.714,2,Low
JW-15955,6,11,1244.086,1,Low
JW-16075,462,7,1428.731,3,High
KA-16525,37,11,1519.506,1,Low
KB-16240,5,10,3152.6150000000002,1,Low
KB-16315,297,22,1569.464,0,High
KB-16405,118,9,908.821,1,Low
KB-16585,231,23,2744.742,0,High
KB-16600,2,9,983.922,1,Low
KC-16255,408,10,2120.954,3,High
KC-16540,98,5,3908.262,1,Low
KC-16675,58,7,1146.05,1,Low
KD-16270,485,16,8282.358,2,High
KD-16345,42,10,1888.964,1,Low
KD-16495,113,28,8181.256,2,Low
KD-16615,290,13,2243.5099999999998,1,High
KE-16420,27,15,1686.7312,0,Low
KF-16285,98,18,10604.266,2,Low
KH-16330,41,18,3312.864,0,Low
KH-16360,2,14,3100.612,0,Low
KH-16510,23,23,5952.859,0,Low
KH-16630,59,17,3918.9660000000003,0,Low
KH-16690,3,15,5990.799,0,Low
KL-16555,17,22,5016.488,0,Low
KL-16645,48,29,14175.229000000001,2,Low
KM-16225,15,19,2260.958,0,Low
KM-16375,57,20,5620.186,0,Low
KM-16660,16,9,453.538,1,Low
KM-16720,29,28,4909.472,0,Low
KN-16390,20,17,2617.272,0,Low
KN-16450,53,8,2171.962,1,Low
KN-16705,99,15,2280.58,0,Low
KS-16300,296,4,88.472,1,High
KT-16465,392,14,3057.1,3,High
KT-16480,101,13,4642.088400000001,0,Low
KW-16435,97,10,4416.5199999999995,1,Low
KW-16570,772,5,449.096,3,High
LA-16780,155,26,8673.222,2,Low
LB-16735,49,3,50.188,1,Low
LB-16795,153,24,4985.676,0,Low
LC-16870,28,30,2580.7039999999997,0,Low
LC-16885,17,23,7663.126,2,Low
LC-16930,42,14,4492.946,0,Low
LC-16960,437,7,3246.626,3,High
LC-17050,55,9,2095.064,1,Low
LC-17140,14,19,2633.582,0,Low
LD-16855,553,1,5.304,3,High
LD-17005,415,7,1961.934,3,High
LE-16810,22,9,1469.45,1,Low
LF-17185,23,16,3930.5089999999996,0,Low
LH-16750,152,3,287.426,1,Low
LH-16900,22,15,2295.332,0,Low
LH-17020,240,6,318.239,1,High
LH-17155,386,19,1739.689,0,High
LL-16840,250,12,2741.2039999999997,1,High
LM-17065,392,7,1346.774,3,High
LO-17170,3,9,644.35,1,Low
LP-17080,41,9,756.606,1,Low
LP-17095,10,15,3653.399,0,Low
LR-16915,27,16,5142.892,0,Low
LR-17035,133,12,1879.306,1,Low
LS-16945,179,14,2845.27,0,Low
LS-16975,21,22,2988.674,0,Low
LS-17200,97,14,1010.2560000000001,1,Low
LS-17230,778,6,368.88000000000005,3,High
LS-17245,35,12,1008.1360000000001,1,Low
LT-16765,27,3,329.876,1,Low
LT-17110,35,14,2936.252,0,Low
LW-16825,89,15,2238.061,0,Low
LW-16990,34,11,3230.308,1,Low
LW-17125,206,5,1259.04,1,High
LW-17215,22,15,5420.514,0,Low
MA-17560,65,34,4299.161,0,Low
MA-17995,187,12,2453.284,1,High
MB-17305,49,19,1548.702,0,Low
MB-18085,45,10,1428.231,1,Low
MC-17275,77,13,2725.982,1,Low
MC-17425,400,10,4432.138,3,High
MC-17575,28,11,1303.893,1,Low
MC-17590,52,17,2426.067,0,Low
MC-17605,113,18,2258.192,0,Low
MC-17635,190,8,795.154,1,High
MC-17845,2,14,3805.714,0,Low
MC-18100,42,19,2218.98,0,Low
MC-18130,370,11,1581.9979999999998,3,High
MD-17350,118,17,3766.382,0,Low
MD-17860,37,8,1204.91,1,Low
ME-17320,43,22,10663.728000000001,2,Low
ME-17725,29,13,1908.4532,1,Low
ME-18010,93,6,1256.944,1,Low
MF-17665,422,8,937.039,3,High
MF-18250,8,12,1758.3,1,Low
MG-17650,30,14,3785.276,0,Low
MG-17680,93,10,2350.188,1,Low
MG-17695,556,7,1342.282,3,High
MG-17875,117,7,1242.8329999999999,1,Low
MG-17890,100,13,776.384,1,Low
MG-18145,85,8,3061.543,1,Low
MG-18205,265,2,16.739,1,High
MH-17290,120,13,2394.025,1,Low
MH-17440,377,9,400.016,3,High
MH-17455,86,11,2456.1820000000002,1,Low
MH-17620,156,6,1252.8,1,Low
MH-17785,99,11,2203.7780000000002,1,Low
MH-18025,50,10,2984.948,1,Low
MH-18115,6,22,5503.093,0,Low
MJ-17740,23,15,6320.746,0,Low
MK-17905,29,17,2302.368,0,Low
MK-18160,241,11,1031.602,1,High
ML-17395,70,20,2722.843,0,Low
ML-17410,55,15,2921.5,0,Low
ML-17755,30,13,2071.9139999999998,1,Low
ML-18040,80,4,742.082,1,Low
ML-18265,101,3,162.232,1,Low
MM-17260,169,6,1314.023,1,Low
MM-17920,8,16,3794.0800000000004,0,Low
MM-18055,62,19,2749.881,0,Low
MM-18280,86,12,775.414,1,Low
MN-17935,35,10,2477.946,1,Low
MO-17500,73,5,922.487,1,Low
MO-17800,105,11,1687.0269999999998,1,Low
MO-17950,181,4,154.288,1,High
MP-17470,720,14,3206.132,3,High
MP-17965,73,20,3983.6420000000003,0,Low
MP-18175,17,19,5087.92,0,Low
MR-17545,126,6,639.178,1,Low
MS-17365,274,24,7443.6900000000005,2,High
MS-17530,435,7,475.65599999999995,3,High
MS-17710,414,15,1613.402,3,High
MS-17770,122,19,3144.678,0,Low
MS-17830,453,5,370.348,3,High
MS-17980,27,11,855.116,1,Low
MT-17815,50,10,2890.139,1,Low
MT-18070,204,11,1319.4498,1,High
MV-17485,28,15,1560.05,0,Low
MV-18190,20,11,1734.574,1,Low
MW-18220,18,14,5341.900000000001,0,Low
MW-18235,45,3,5253.876,1,Low
MY-17380,30,13,2254.285,1,Low
MY-18295,72,21,4152.696,0,Low
MZ-17335,31,6,593.606,1,Low
MZ-17515,283,10,2564.906,1,High
NB-18580,1166,2,273.87199999999996,3,High
NB-18655,20,17,1972.599,0,Low
NC-18340,225,17,2461.404,0,High
NC-18415,42,14,2218.9900000000002,0,Low
NC-18535,7,15,8241.739,2,Low
NC-18625,205,9,1821.742,1,High
ND-18370,28,18,4326.139,0,Low
ND-18460,184,8,2893.455,1,High
NF-18385,80,14,8322.826,2,Low
NF-18475,526,4,377.16200000000003,3,High
NF-18595,115,12,2031.472,1,Low
NG-18355,49,16,1869.58,0,Low
NG-18430,49,9,1395.9379999999999,1,Low
NH-18610,190,11,2673.29,1,High
NK-18490,71,11,572.048,1,Low
NL-18310,59,10,1418.0900000000001,1,Low
NM-18445,161,14,6459.344,0,Low
NM-18520,245,15,2161.979,0,High
NP-18325,26,21,5529.62,0,Low
NP-18670,59,10,3908.402,1,Low
NP-18685,407,7,1228.698,3,High
NP-18700,139,13,7903.1825,2,Low
NR-18550,211,13,2367.277,1,High
NS-18505,7,15,2575.863,0,Low
NS-18640,175,26,2964.823,0,Low
NW-18400,173,22,7234.014,2,Low
NZ-18565,86,20,2488.31,0,Low
ON-18715,411,15,1567.52,3,High
OT-18730,66,10,3818.624,1,Low
PA-19060,104,7,729.408,1,Low
PB-18805,26,10,740.356,1,Low
PB-19105,58,5,688.324,1,Low
PB-19150,98,11,1456.95,1,Low
PB-19210,689,2,132.738,3,High
PC-18745,3,5,1832.064,1,Low
PC-19000,883,3,1061.488,3,High
PF-19120,836,19,9062.864,3,High
PF-19165,197,10,2770.0,1,High
PF-19225,115,10,2206.1279999999997,1,Low
PG-18820,37,26,3086.907,0,Low
PG-18895,58,17,1987.164,0,Low
PH-18790,71,2,729.648,1,Low
PJ-18835,40,13,1220.09,1,Low
PJ-19015,135,10,1824.2340000000002,1,Low
PK-18910,484,3,1441.152,3,High
PK-19075,10,25,8646.934,2,Low
PL-18925,16,8,239.481,1,Low
PM-18940,387,4,1405.402,3,High
PM-19135,52,7,4115.662,1,Low
PN-18775,31,13,1467.152,1,Low
PO-18850,5,22,7473.8282,2,Low
PO-18865,1,13,2493.214,1,Low
PO-19180,161,18,4893.043,0,Low
PO-19195,87,10,1056.858,1,Low
PP-18955,98,34,7252.608,2,Low
PR-18880,37,12,1840.178,1,Low
PS-18760,108,21,2181.479,0,Low
PS-18970,70,13,1278.639,1,Low
PS-19045,237,13,6843.634,0,High
PT-19090,72,7,160.572,1,Low
PV-18985,90,13,2876.046,0,Low
PW-19030,47,13,3454.916,0,Low
PW-19240,465,12,3922.4150000000004,3,High
QJ-19255,26,13,6108.338,0,Low
RA-19285,6,17,2617.906,0,Low
RA-19885,44,15,3832.314,0,Low
RA-19915,13,22,4793.543,0,Low
RA-19945,62,9,1686.9225,1,Low
RB-19330,69,6,1008.1959999999999,1,Low
RB-19360,97,18,15117.339,2,Low
RB-19435,20,16,2663.0860000000002,0,Low
RB-19465,10,23,4715.466,0,Low
RB-19570,26,9,528.546,1,Low
RB-19645,649,7,221.084,3,High
RB-19705,55,7,2067.45,1,Low
RB-19795,33,18,5633.316000000001,0,Low
RC-19825,370,10,966.409,3,High
RC-19960,111,11,885.752,1,Low
RD-19480,73,15,4272.93,0,Low
RD-19585,181,19,2912.8940000000002,0,High
RD-19660,115,5,2786.632,1,Low
RD-19720,22,20,1419.737,0,Low
RD-19810,15,16,1137.616,0,Low
RD-19900,115,21,3133.924,0,Low
RD-19930,43,10,970.9420000000001,1,Low
RE-19405,1098,1,48.36,3,High
RE-19450,303,9,876.696,1,High
RF-19345,391,16,3309.15,3,High
RF-19735,90,14,2341.2960000000003,0,Low
RF-19840,7,11,945.222,1,Low
RH-19495,33,8,3621.3759999999997,1,Low
RH-19510,468,12,6979.18,3,High
RH-19555,520,3,740.382,3,High
RH-19600,535,11,2085.7400000000002,3,High
RK-19300,120,8,1460.192,1,Low
RL-19615,122,24,6234.91,0,Low
RM-19375,346,9,1453.474,3,High
RM-19675,7,11,5979.0960000000005,0,Low
RM-19750,300,2,98.35,1,High
RO-19780,36,12,3815.478,0,Low
RP-19270,497,12,954.6452,3,High
RP-19390,34,25,5153.084,0,Low
RP-19855,29,15,2170.716,0,Low
RR-19315,20,4,615.932,1,Low
RR-19525,171,10,3302.2619999999997,1,Low
RS-19420,77,9,3221.29,1,Low
RS-19765,37,14,4159.7699999999995,0,Low
RS-19870,20,3,22.328,1,Low
RW-19540,121,23,7397.401,2,Low
RW-19630,90,16,3279.746,0,Low
RW-19690,80,15,3495.646,0,Low
SA-20830,64,21,4767.3415,0,Low
SB-20170,202,7,1348.02,1,High
SB-20185,189,12,6410.996,0,High
SB-20290,48,17,8057.891,2,Low
SC-20020,782,17,3362.9636,3,High
SC-20050,41,15,4624.572,0,Low
SC-20095,350,22,14142.333999999999,2,High
SC-20230,150,11,4371.9580000000005,1,Low
SC-20260,188,18,3729.7929999999997,0,High
SC-20305,30,12,3979.065,0,Low
SC-20380,31,20,5992.536,0,Low
SC-20440,37,10,1874.998,1,Low
SC-20575,93,7,902.7280000000001,1,Low
SC-20680,127,8,1254.64,1,Low
SC-20695,90,14,2576.408,0,Low
SC-20725,188,26,5226.21,0,High
SC-20770,42,21,4492.657,0,Low
SC-20800,31,5,279.25600000000003,1,Low
SC-20845,132,4,280.632,1,Low
SD-20485,201,21,6121.114,0,High
SE-20110,10,19,12209.438000000002,2,Low
SF-20065,60,9,763.5459999999999,1,Low
SF-20200,60,15,3422.7859999999996,0,Low
